"year_month","total_orders","total_sales","avg_order_value","prev_month_orders","prev_month_sales","order_growth_pct","sales_growth_pct"
"20-01","4802","2880866.33","640.9",,,,
"20-02","5046","2982101.41","632.07","4802","2880866.33","5.08","3.51"
"20-03","5004","2940626.16","630.76","5046","2982101.41","-0.83","-1.39"
"20-04","4917","2983899.44","647.69","5004","2940626.16","-1.74","1.47"
"20-05","4670","2834341.25","645.78","4917","2983899.44","-5.02","-5.01"
"20-06","4476","2751791.52","648.55","4670","2834341.25","-4.15","-2.91"
"20-07","4503","2787150.37","657.5","4476","2751791.52","0.6","1.28"
"20-08","4740","2886262.76","648.89","4503","2787150.37","5.26","3.56"
"20-09","4496","2742205.46","646.29","4740","2886262.76","-5.15","-4.99"
"20-10","4211","2597647.85","653.66","4496","2742205.46","-6.34","-5.27"
